iso3,year,TXx,TNx,SU,TR,WSDI,TN90p
ETH,2013,,29.434937159220382,,152.8322499277439,,28.856259663899742
ETH,2014,,28.254939079284668,,128.83966117929438,,27.55654462178548
ETH,2015,,32.97931005124256,,178.94153210228652,,35.47431310017904
ETH,2016,,31.2732036813903,,190.6262689482357,,35.8109982808431
ETH,2017,,29.769102096557617,,149.50278727213544,,32.03779602050782
ETH,2018,,28.15876579284668,,156.33464558919272,,44.4723243713379
GAB,2000,38.083046862840604,26.68067050659526,362.63168431450663,288.38704460295605,,
GAB,2001,37.68539100745315,27.089702259796912,360.42452453303935,292.9062690079232,,
GAB,2002,38.10375088143337,27.365404501165695,362.080750466194,300.771184443291,,
GAB,2003,37.589574120453776,27.502930412301808,362.2472561915849,310.90890268761154,,
GAB,2004,38.31867470594934,27.290934565680903,363.9096035073369,309.2236744685755,,
GAB,2005,36.99218653973962,27.23567699328516,360.4295233142356,310.8120343921514,,
GAB,2006,36.60339911819049,26.660549124727833,359.92626365865596,310.6818573818364,,
GAB,2007,37.904432335215645,26.99615351960892,359.26525464677303,306.7476656154316,,
GAB,2008,38.0840768760618,26.778087273735373,362.01633738701406,304.58068490691807,,
GAB,2009,37.14859167029211,26.532718210005374,361.96929424657867,315.5379220870211,,
GAB,2010,38.325726972441196,27.505326501560575,364.01269998272613,320.13830932465925,,
GBR,2000,27.333370734938775,16.717220964990087,8.866270678158127,0.0532150937672946,7.763476899970708,18.232389877064026
GBR,2001,27.481218915731414,17.66432854134831,11.659756637508849,0.14495003025942657,4.082418812793801,15.934555299494958
GBR,2002,26.693379879532547,17.27756545448589,9.371927544599247,0.1315609984847581,13.869898925798264,19.37044613850551
GBR,2003,30.260944113990107,18.438444580058686,20.86038329234365,0.6604188627115256,18.45162304847425,18.432537931652018
GBR,2004,27.1343507314776,17.94528914200127,10.946353729380036,0.18026328280445317,8.35046891254427,16.100083586275453
GBR,2005,28.406409961378387,17.298718448146257,14.561175364041022,0.1288835665391864,16.411748482142247,18.0498281616069
GBR,2006,30.36398717733843,18.50580207594503,22.19065539424986,0.46290121189447486,23.92364001220596,22.62622990451748
GBR,2007,25.841319954160365,16.438789020538223,7.9461998866718,0.0430735036473897,20.434721987181835,18.860071564087672
GBR,2008,26.617538508252235,17.024103016215008,10.237499171806977,0.043152758683658386,12.107414161516964,15.867704922305373
GBR,2009,28.12018503782679,17.3196516189969,12.413953110293523,0.06457881786461342,10.345813895131599,15.669483479903056
GBR,2010,26.659290576009216,17.150420691848595,11.412992959422956,0.17673196740801295,3.4385043810406963,11.483198024444588
GBR,2011,26.908813158475812,16.953762917041264,11.29452735449695,0.08370116297847331,18.359014750350678,18.03012961031499
